-417644099,809,b1,528870
-417644099,809,b1,308694909
-417644099,820,b3,528870
-417644099,820,b4,1261687997
-417644099,820,b3,308694909
-417644099,824,b1,3089157
-417644099,824,b1,528870
-417644099,866,b2,3089157
-417644099,865,b1,308694909
-417644099,866,b1,308694909
-417644099,865,b1,1261687997
-417644099,870,b2,3089157
-417644099,870,b4,3089157
-417644099,870,b2,1261687997
-417644099,870,b2,528870
-417644099,870,b1,528870
-417644099,874,b1,3089157
-417644099,874,b1,308694909
-417644099,874,b1,528870
-417644099,889,b2,1261687997
-417644099,889,b1,3089157
-417644099,889,b1,308694909
-417644099,900,b4,3089157
-417644099,900,b1,308694909
-417644099,904,b1,3089157
-417644099,904,b4,3089157
-417644099,904,b1,528870
-417644099,905,b1,528870
-417644099,905,b4,3089157
-417644099,904,b1,308694909
-417644099,905,b1,308694909
-417644099,909,b2,3089157
1,1,1,1
1,12,1,1
1,1,1,3
1,2,1,3
1,1,2,4
-417644099,909,b1,528870
-417644099,909,b4,528870
-417644099,909,b2,528870
-417644099,793,b2,528870
-417644099,793,b1,528870
-417644099,909,b3,528870
-417644099,911,b1,528870
-417644099,911,b2,3089157
-417644099,911,b4,3089157
-417644099,911,b3,1261687997
-417644099,911,b1,3089157
-417644099,909,b3,1261687997
-417644099,911,b2,528870
-417644099,911,b3,3089157
-417644099,905,b1,3089157
-417644099,911,b1,308694909
-417644099,911,b4,308694909
-417644099,915,b2,528870
-417644099,67,button1,528870
-417644099,69,button1,528870
-417644099,82,button1,528870
-417644099,82,button3,528870
-417644099,84,button1,528870
-417644099,89,button3,528870
-417644099,915,b4,3089157
-417644099,915,b4,308694909
-417644099,915,b1,528870
-417644099,915,b2,1261687997
-417644099,917,b2,528870
-417644099,865,b1,528870
-417644099,866,b1,528870
-417644099,917,b3,308694909
-417644099,919,b4,3089157
-417644099,919,b1,528870
-417644099,919,b2,528870
-417644099,919,b1,308694909
-417644099,932,b1,308694909
-417644099,943,b1,528870
-417644099,943,b1,3089157
-417644099,960,b4,1261687997
-417644099,960,b4,3089157
-417644099,972,b4,1261687997
-417644099,972,b4,3089157
-417644099,972,b4,308694909
-417644099,977,b1,3089157
-417644099,977,b1,528870
-417644099,979,b4,308694909
-417644099,990,b1,528870
-417644099,1001,b4,1261687997
-417644099,1001,b1,308694909
-417644099,1021,b2,528870
-417644099,1021,b2,3089157
-417644099,1021,b2,308694909
-417644099,1021,b2,1261687997
-417644099,1024,b1,308694909
-417644099,1026,b1,308694909
-417644099,1024,b1,528870
-417644099,1026,b4,528870
